Year,Artist
2018,Goldlink
2018,Quinn XCII
2018,Smallools
2018,Seeb
2017,Tory Lanez
2017,Daya
2017,Cheat Codes
2017,Panama Wedding
2016,Rae Sremmurd
2016,Saint Motel
2016,Wes Walker
2016,DJ Matoma
2015,T-Pain
2015,Jeremih
2015,Misterwives
2015,Spencer Brown
2014,Dillon Francis
2014,Ruby Jane Smith
2014,Youngblood Hawke
2014,Skizzy Mars
2014,Spencer Brown
2013,Kendrick Lamar
2013,Steve Aoki
2013,Travis Porter
2012,B.o.B.
2012,Macklemore & Ryan Lewis
2012,Basshunter
2012,3LAU
2011,Ludacris
2011,Dev
2011,Hyper Crush
2011,Rudy Currence
2010,Flogging Molly
2010,Jay Sean
2010,Rooney
2010,Big D and the Kids Table